Name,Code,RegDate,LastClose,Pivot,Bottom,LastIntStart,LastIntEnd,LastIntPeriod,T,Breakout,BreakoutDate,NewInterval
오리온,271560,2025-02-11,104900,105000,102400,2025-02-07,2025-02-11,5,4,False,,False
오리온,271560,2025-03-10,107600,109100,104800,2025-03-07,2025-03-10,4,3,False,,False
우리금융지주,316140,2025-03-20,16730,16740,16550,2025-03-19,2025-03-20,2,4,False,,False
우리금융지주,316140,2025-03-21,16790,16830,16460,2025-03-18,2025-03-21,4,3,False,,False
우리금융지주,316140,2025-03-27,16690,17050,16655,2025-03-26,2025-03-27,2,3,False,,False
우리금융지주,316140,2025-03-28,16650,17050,16400,2025-03-26,2025-03-28,3,3,False,,False
이마트,139480,2025-02-13,69600,70100,67400,2025-02-12,2025-02-13,2,4,False,,False
이마트,139480,2025-02-14,71500,73100,69500,2025-02-14,2025-02-14,1,4,False,,True
이마트,139480,2025-02-21,78100,78500,74600,2025-02-21,2025-02-21,1,3,False,,True
인카금융서비스,211050,2025-01-24,5940,6140,5850,2025-01-23,2025-01-24,2,3,False,,False
인카금융서비스,211050,2025-02-28,5860,6010,5770,2025-02-27,2025-02-28,2,5,False,,False
인카금융서비스,211050,2025-03-04,5770,6010,5660,2025-02-27,2025-03-04,6,5,False,,False
인카금융서비스,211050,2025-03-05,5860,6010,5660,2025-02-27,2025-03-05,7,5,False,,False
인카금융서비스,211050,2025-03-06,5940,6010,5660,2025-02-27,2025-03-06,8,5,False,,False
인카금융서비스,211050,2025-03-07,5880,6010,5660,2025-02-27,2025-03-07,9,5,False,,False
주성엔지니어링,036930,2025-03-13,33150,33350,32300,2025-03-12,2025-03-13,2,3,False,,False
카카오뱅크,323410,2025-02-26,25150,24500,23850,2025-02-25,2025-02-25,1,3,True,2025-02-26,False
카카오뱅크,323410,2025-03-26,23150,23150,22700,2025-03-25,2025-03-26,2,3,False,,False
카카오뱅크,323410,2025-03-27,22800,23300,22700,2025-03-25,2025-03-27,3,3,False,,False
카카오뱅크,323410,2025-03-28,22750,23300,22700,2025-03-25,2025-03-28,4,3,False,,False
코리안리,003690,2025-01-31,8240,8240,8070,2025-01-31,2025-01-31,1,3,False,,True
코리안리,003690,2025-02-03,8210,8240,8070,2025-01-31,2025-02-03,4,4,False,,False
코리안리,003690,2025-02-04,8130,8250,8070,2025-01-31,2025-02-04,5,4,False,,False
코리안리,003690,2025-02-05,8100,8270,8070,2025-01-31,2025-02-05,6,4,False,,False
코리안리,003690,2025-02-06,8170,8270,8070,2025-01-31,2025-02-06,7,4,False,,False
코리안리,003690,2025-02-07,8180,8270,8060,2025-01-31,2025-02-07,8,4,False,,False
코리안리,003690,2025-02-12,8200,8290,8060,2025-01-31,2025-02-12,13,4,False,,False
코리안리,003690,2025-02-13,8120,8290,8060,2025-01-31,2025-02-13,14,4,False,,False
코리안리,003690,2025-02-14,8160,8290,8000,2025-01-31,2025-02-14,15,4,False,,False
코리안리,003690,2025-02-17,8340,8340,7970,2025-01-21,2025-02-17,28,3,False,,False
코리안리,003690,2025-02-18,8240,8380,7970,2025-01-21,2025-02-18,29,3,False,,False
코리안리,003690,2025-02-19,8210,8380,7970,2025-01-21,2025-02-19,30,3,False,,False
코리안리,003690,2025-02-20,8280,8380,7970,2025-01-21,2025-02-20,31,3,False,,False
코리안리,003690,2025-02-21,8220,8280,8200,2025-02-20,2025-02-21,2,4,False,,False
코리안리,003690,2025-02-24,8220,8300,8200,2025-02-20,2025-02-24,5,4,False,,False
코리안리,003690,2025-02-25,8160,8300,8110,2025-02-20,2025-02-25,6,4,False,,False
코리안리,003690,2025-02-26,8120,8300,8110,2025-02-20,2025-02-26,7,4,False,,False
코리안리,003690,2025-02-27,8190,8300,8110,2025-02-20,2025-02-27,8,4,False,,False
코리안리,003690,2025-02-28,8040,8300,8040,2025-02-20,2025-02-28,9,4,False,,False
코리안리,003690,2025-03-06,8110,8300,8010,2025-02-20,2025-03-06,15,4,False,,False
코리안리,003690,2025-03-26,8140,8280,8030,2025-03-10,2025-03-26,17,5,False,,False
코리안리,003690,2025-03-28,8240,8280,8030,2025-03-10,2025-03-28,19,5,False,,False
코웨이,021240,2025-03-14,83500,84500,82200,2025-03-13,2025-03-14,2,3,False,,False
코웨이,021240,2025-03-17,86600,86600,84500,2025-03-17,2025-03-17,1,3,False,,True
크래프톤,259960,2025-02-27,341500,343500,324000,2025-02-26,2025-02-27,2,3,False,,False
크래프톤,259960,2025-02-28,343500,343500,324000,2025-02-26,2025-02-28,3,3,False,,False
크래프톤,259960,2025-03-04,334000,345000,324000,2025-02-26,2025-03-04,7,3,False,,False
크래프톤,259960,2025-03-07,349000,349500,340000,2025-03-06,2025-03-07,2,4,False,,False
크래프톤,259960,2025-03-10,350500,354000,340000,2025-03-06,2025-03-10,5,4,False,,False
크래프톤,259960,2025-03-11,346000,358500,340000,2025-03-06,2025-03-11,6,4,False,,False
크래프톤,259960,2025-03-12,345500,358500,339500,2025-03-06,2025-03-12,7,4,False,,False
크래프톤,259960,2025-03-13,358000,358500,339500,2025-03-06,2025-03-13,8,4,False,,False
크래프톤,259960,2025-03-14,356000,358500,339500,2025-03-06,2025-03-14,9,4,False,,False
크래프톤,259960,2025-03-17,357500,358500,339500,2025-03-06,2025-03-17,12,4,False,,False
크래프톤,259960,2025-03-18,351000,359500,339500,2025-03-06,2025-03-18,13,4,False,,False
크래프톤,259960,2025-03-19,348000,361000,339500,2025-03-06,2025-03-19,14,4,False,,False
클래시스,214150,2025-03-25,58300,59100,57100,2025-03-24,2025-03-25,2,4,False,,False
클래시스,214150,2025-03-26,58400,59100,57100,2025-03-24,2025-03-26,3,4,False,,False
클래시스,214150,2025-03-27,57000,59100,57000,2025-03-24,2025-03-27,4,4,False,,False
티앤엘,340570,2025-03-10,80000,82500,78900,2025-03-07,2025-03-10,4,3,False,,False
티앤엘,340570,2025-03-17,76100,76600,74200,2025-03-14,2025-03-17,4,3,False,,False
파마리서치,214450,2025-02-05,253000,253000,244000,2025-02-04,2025-02-05,2,3,False,,False
파미셀,005690,2025-01-24,9170,9250,8780,2025-01-22,2025-01-24,3,3,False,,False
펌텍코리아,251970,2025-03-14,47450,48400,45800,2025-03-14,2025-03-14,1,3,False,,True
한일시멘트,300720,2025-01-24,15500,15850,15290,2025-01-17,2025-01-24,8,3,False,,False
한일시멘트,300720,2025-01-31,15390,15850,15200,2025-01-17,2025-01-31,15,3,False,,False
